estimer;0;1;1;1;0
espace;0;0;1;1;1
entrainer;2;1;0;0;0
enter;0;1;1;1;0
ela;0;0;0;2;1
effectuer;1;2;0;0;0
déroulement;2;0;0;1;0
démontrer;1;2;0;0;0
démocratisation;2;0;1;0;0
découler;0;1;0;1;1
décision;2;1;0;0;0
décider;1;0;2;0;0
don;1;0;0;2;0
diffusion;1;0;0;2;0
difficile;1;1;1;0;0
delà;0;0;0;3;0
culture;1;1;0;1;0
cours;1;1;0;1;0
correspondre;1;0;1;1;0
copernic;2;0;0;1;0
contribuer;1;0;0;1;1
contrairement;2;0;0;0;1
contrainte;0;3;0;0;0
continent;0;1;0;2;0
communication;0;2;0;1;0
com;1;0;1;1;0
code;1;1;1;0;0
cile;2;0;1;0;0
choisir;1;1;0;0;1
chinois;2;1;0;0;0
champ;1;1;0;1;0
ch;1;0;0;2;0
cercle;0;1;1;1;0
cambodge;0;0;2;1;0
bolchévique;0;0;1;1;1
barbare;2;0;0;1;0
axe;1;0;0;2;0
avérer;1;1;0;1;0
augmenter;0;0;2;0;1
astronomie;3;0;0;0;0
approuver;0;0;0;1;2
apparaitre;1;1;1;0;0
antagonisme;0;0;1;2;0
améliorer;0;3;0;0;0
aine;0;0;1;2;0
accorder;0;1;0;1;1
accomp;0;0;0;3;0
absolument;1;0;0;2;0
